m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.001252    0.9993    0.0002
  0.001259    0.9993    0.0002
  0.001265    0.9993    0.0002
  0.001272    0.9993    0.0002
  0.001278    0.9992    0.0002
  0.001285    0.9992    0.0002
  0.001292    0.9992    0.0002
  0.001298    0.9992    0.0002
  0.001305    0.9992    0.0002
  0.001312    0.9992    0.0002
  0.001319    0.9992    0.0002
  0.001326    0.9992    0.0002
  0.001333    0.9992    0.0002
  0.001340    0.9992    0.0002
  0.001348    0.9992    0.0002
  0.001355    0.9992    0.0003
  0.001362    0.9992    0.0003
  0.001370    0.9992    0.0003
  0.001373    0.9992    0.0003
  0.001378    0.9991    0.0003
  0.001385    0.9991    0.0003
  0.001393    0.9991    0.0003
  0.001396    0.9991    0.0003
  0.001399    0.9991    0.0003
  0.001403    0.9991    0.0003
  0.001406    0.9991    0.0003
  0.001409    0.9991    0.0003
  0.001412    0.9991    0.0003
  0.001415    0.9991    0.0003
  0.001419    0.9991    0.0003
  0.001422    0.9991    0.0003
  0.001425    0.9991    0.0003
  0.001427    0.9991    0.0003
  0.001428    0.9991    0.0003
  0.001430    0.9991    0.0003
  0.001432    0.9991    0.0003
  0.001433    0.9991    0.0003
  0.001435    0.9991    0.0003
  0.001437    0.9991    0.0003
  0.001438    0.9991    0.0003
  0.001440    0.9991    0.0003
  0.001442    0.9991    0.0003
  0.001443    0.9991    0.0003
  0.001445    0.9991    0.0003
  0.001447    0.9991    0.0003
  0.001448    0.9991    0.0003
  0.001450    0.9991    0.0003
  0.001452    0.9991    0.0003
  0.001454    0.9991    0.0003
  0.001455    0.9991    0.0003
  0.001457    0.9991    0.0003
  0.001459    0.9991    0.0003
  0.001460    0.9991    0.0003
  0.001462    0.9991    0.0003
  0.001464    0.9991    0.0003
  0.001466    0.9991    0.0003
  0.001467    0.9991    0.0003
  0.001469    0.9991    0.0003
  0.001471    0.9991    0.0003
  0.001472    0.9991    0.0003
  0.001474    0.9991    0.0003
  0.001476    0.9991    0.0003
  0.001478    0.9991    0.0003
  0.001480    0.9991    0.0003
  0.001485    0.9991    0.0003
  0.001494    0.9990    0.0003
  0.001503    0.9990    0.0003
  0.001512    0.9990    0.0003
